# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.11.2
#@/tick	975305
#@/user_id	config_yamls
a 	啊	c=4269 d=4.42228 t=975299
lai kuai 	來塊	c=3 d=7.96377e-87 t=975297
lai la 	來啦	c=5 d=1.10559e-122 t=975297
lai lai 	來來	c=8 d=3.99227e-110 t=975297
lai le 	來了	c=67 d=1.11704e-08 t=975297
lai le ge 	來了個	c=3 d=4.70658e-124 t=975297
lai le jiu lai 	來了就來	c=1 d=0 t=975297
lai le ma 	來了嘛	c=1 d=1.56501e-35 t=975297
lai le me 	來了麼	c=2 d=6.98225e-69 t=975297
lai le xie 	來了些	c=1 d=1.60688e-168 t=975297
lai lin 	來臨	c=2 d=9.58123e-174 t=975297
lai lo 	來咯	c=1 d=0 t=975297
lai ma 	來嘛	c=12 d=3.06049e-42 t=975297
lai me 	來麼	c=1 d=3.92602e-119 t=975297
lai mian shi 	來面試	c=1 d=1.11622e-205 t=975297
lai na 	來拿	c=3 d=1.1672e-201 t=975297
lai na li 	來哪裏	c=1 d=0 t=975297
lai nan jing 	來南京	c=1 d=2.96489e-51 t=975297
lai ne 	來呢	c=1 d=8.93036e-23 t=975297
lai ni 	來你	c=2 d=3.83729e-56 t=975297
lai nian 	來年	c=11 d=2.72282e-49 t=975297
lai nong 	來弄	c=3 d=1.38776e-61 t=975297
lai pao qu 	來跑去	c=1 d=0 t=975297
lai qi 	來氣	c=2 d=3.09493e-57 t=975297
lai qian 	來錢	c=1 d=0 t=975297
lai qie 	萊切	c=0 d=0 t=975297
lai qu 	來取	c=2 d=0 t=975297
lai ren 	來人	c=3 d=1.04422e-09 t=975297
lai sha 	來啥	c=2 d=0 t=975297
lai sha 	來煞	c=1 d=0 t=975297
lai shang 	賴上	c=1 d=7.42869e-151 t=975297
lai shen zhen 	來深圳	c=1 d=4.86772e-119 t=975297
lai shi 	來時	c=1 d=8.00343e-116 t=975297
lai shun de 	來順德	c=1 d=6.93635e-109 t=975297
lai shuo 	來說	c=177 d=0.405849 t=975297
lai suan 	來算	c=3 d=0 t=975297
lai tang 	來趟	c=2 d=1.6196e-55 t=975297
lai tian 	來天	c=1 d=2.13668e-50 t=975297
lai ting 	來聽	c=2 d=3.02643e-28 t=975297
lai tui 	來推	c=1 d=1.97631e-132 t=975297
lai wan 	來玩	c=1 d=0 t=975297
lai wan 	來萬	c=6 d=6.17506e-153 t=975297
lai wang 	來往	c=1 d=0 t=975297
lai wen 	來問	c=0 d=0 t=975297
lai wen ni men 	來問你們	c=1 d=0 t=975297
lai wo 	來我	c=3 d=1.44652e-137 t=975297
lai wo jia 	來我家	c=6 d=4.07457e-56 t=975297
lai wo men 	來我們	c=1 d=0 t=975297
lai wo na 	來我那	c=1 d=4.43685e-205 t=975297
lai wo si 	來我司	c=1 d=7.20814e-120 t=975297
lai wo zhe 	來我這	c=6 d=2.13457e-09 t=975297
lai wo zhe bian 	來我這邊	c=1 d=2.01581e-12 t=975297
lai wo zhe li 	來我這裏	c=5 d=4.64419e-66 t=975297
lai wu 	萊蕪	c=1 d=1.72422e-203 t=975297
lai xia 	來下	c=10 d=6.77749e-13 t=975297
lai xiao mi 	來小米	c=1 d=0 t=975297
lai xu qiu 	來需求	c=1 d=7.39661e-12 t=975297
lai ya 	來呀	c=1 d=0 t=975297
lai yang 	萊陽	c=1 d=0 t=975297
lai yi ba 	來一把	c=2 d=1.10529e-60 t=975297
lai yi bo 	來一波	c=2 d=0 t=975297
lai yi ci 	來一次	c=5 d=1.21108e-103 t=975297
lai yi duan 	來一段	c=1 d=0 t=975297
lai yi fen 	來一份	c=1 d=0 t=975297
lai yi ge 	來一個	c=6 d=5.091e-126 t=975297
lai yi tang 	來一趟	c=2 d=2.21583e-213 t=975297
lai yi tao 	來一套	c=1 d=3.53255e-200 t=975297
lai yi xia 	來一下	c=4 d=6.07234e-44 t=975297
lai yi xie 	來一些	c=1 d=5.82201e-225 t=975297
lai yong 	來用	c=2 d=0 t=975297
lai yuan 	來源	c=12 d=4.36852e-52 t=975297
lai yuan qu xiang 	來源去向	c=1 d=0 t=975297
lai yue 	來月	c=3 d=8.68739e-22 t=975297
lai zai 	賴在	c=1 d=0 t=975297
lai zao 	來早	c=3 d=1.35857e-105 t=975297
lai zeng jia 	來增加	c=1 d=1.26923e-187 t=975297
lai zhao 	來找	c=1 d=0 t=975297
lai zhao ni 	來找你	c=2 d=1.08735e-44 t=975297
lai zhe 	來着	c=147 d=3.84943e-05 t=975297
lai zhe 	來這	c=3 d=3.19319e-12 t=975297
lai zhe 	賴着	c=2 d=0 t=975297
lai zhe bian 	來這邊	c=3 d=7.88402e-145 t=975297
lai zhe teng 	來折騰	c=1 d=2.46633e-179 t=975297
lai zheng 	來整	c=1 d=0 t=975297
lai zi 	來自	c=83 d=8.45732e-22 t=975297
lai zi yu 	來自於	c=1 d=0 t=975297
lai zuo 	來做	c=12 d=5.45308e-52 t=975297
lan 	懶	c=28 d=1.65783e-06 t=975297
lan 	攬	c=3 d=3.64107e-77 t=975297
lan 	欄	c=26 d=7.63306e-88 t=975297
lan 	爛	c=14 d=1.27584e-13 t=975297
lan 	藍	c=2 d=1.19194e-95 t=975297
lan 	蘭	c=4 d=1.62678e-98 t=975297
lan de 	懶得	c=17 d=1.0527e-16 t=975297
lan de da 	懶得打	c=1 d=1.13651e-123 t=975297
lan de guan 	懶得管	c=1 d=0 t=975297
lan de kan 	懶得看	c=2 d=0 t=975297
lan de wen 	懶得問	c=1 d=0 t=975297
lan de zhe teng 	懶得折騰	c=1 d=0 t=975297
lan de zhuang 	懶得裝	c=1 d=1.31154e-161 t=975297
lan deng 	藍燈	c=4 d=6.31806e-187 t=975297
lan guang 	藍光	c=7 d=0.000156693 t=975297
lan hu 	爛糊	c=1 d=0 t=975297
lan hu 	藍弧	c=9 d=2.02378e-29 t=975297
lan hu 	藍湖	c=1 d=4.81125e-70 t=975297
lan huo er 	攬活兒	c=1 d=0 t=975297
lan jia zai 	懶加載	c=19 d=2.20431e-93 t=975297
lan jiao 	懶覺	c=2 d=1.36534e-134 t=975297
lan jie 	攔截	c=35 d=6.4015e-18 t=975297
lan jie qi 	攔截器	c=1 d=0 t=975297
lan jing 	藍鯨	c=4 d=1.98238e-168 t=975297
lan kong den sai den 	欄空㩐塞㩐	c=1 d=0 t=975297
lan mu 	欄目	c=7 d=0.0266491 t=975297
lan qiu 	籃球	c=25 d=0.565525 t=975297
lan qiu chang 	籃球場	c=1 d=1.04611e-236 t=975297
lan ren 	懶人	c=4 d=1.50053e-39 t=975297
lan san 	懶散	c=1 d=0 t=975297
lan se 	藍色	c=17 d=1.59024e-75 t=975297
lan tan zi 	爛攤子	c=1 d=0 t=975297
lan tian 	藍天	c=1 d=0 t=975297
lan tou 	爛透	c=1 d=0 t=975297
lan tou zi 	懶投資	c=6 d=4.4962e-38 t=975297
lan wa 	懶娃	c=1 d=0 t=975297
lan wei 	爛尾	c=7 d=1.39865e-06 t=975297
lan xia 	攔下	c=3 d=1.36919e-79 t=975297
lan ya 	藍牙	c=477 d=1.79693e-09 t=975297
lan ya he xin ku 	藍牙核心庫	c=1 d=5.52865e-205 t=975297
lan ya ku 	藍牙庫	c=1 d=4.96722e-63 t=975297
lan yan 	讕言	c=1 d=3.02584e-202 t=975297
lan yong 	濫用	c=1 d=1.34154e-133 t=975297
lan zai 	攔在	c=0 d=0 t=975297
lan zai wai bu 	攔在外部	c=1 d=0 t=975297
lan zhe 	攔着	c=0 d=3.06101e-45 t=975297
lan zhe wo 	攔着我	c=1 d=3.07635e-44 t=975297
lan zhou 	蘭州	c=7 d=0 t=975297
lan zhu 	攔住	c=2 d=0 t=975297
lan zi 	籃子	c=2 d=0 t=975297
lang 	朗	c=2 d=0 t=975297
lang 	浪	c=103 d=0.0100518 t=975297
lang 	狼	c=0 d=0 t=975297
lang 	郎	c=17 d=6.14421e-06 t=975297
lang chao 	浪潮	c=2 d=0 t=975297
lang fei 	浪費	c=106 d=0.000274654 t=975297
lang fou 	浪否	c=1 d=0 t=975297
lang ji 	浪跡	c=2 d=4.57772e-161 t=975297
lang ji 	狼藉	c=1 d=0 t=975297
lang kang 	狼犺	c=1 d=7.2271e-239 t=975297
lang lang 	朗朗	c=1 d=3.09887e-306 t=975297
lang ren 	浪人	c=1 d=1.01151e-252 t=975297
lang tun hu yan 	狼吞虎嚥	c=1 d=0 t=975297
lang xing 	狼性	c=1 d=8.20325e-112 t=975297
lang xing wen hua 	狼性文化	c=1 d=0 t=975297
lang yi bo 	浪一波	c=1 d=0 t=975297
lang zhe 	浪者	c=1 d=1.10322e-38 t=975297
lao 	佬	c=1 d=0 t=975297
lao 	勞	c=4 d=0 t=975297
lao 	嘮	c=51 d=7.71286e-06 t=975297
lao 	撈	c=14 d=1.47593e-21 t=975297
lao 	老	c=360 d=0.333466 t=975297
lao ba 	老爸	c=8 d=3.04791e-24 t=975297
lao bai 	老白	c=0 d=6.38042e-39 t=975297
lao bai tu 	老白兔	c=1 d=6.4124e-38 t=975297
lao bai xing 	老百姓	c=3 d=3.86231e-103 t=975297
lao ban 	老闆	c=671 d=0.0153022 t=975297
lao ban ben 	老版本	c=1 d=0 t=975297
lao ban men 	老闆們	c=23 d=0.19205 t=975297
lao ban niang 	老闆娘	c=2 d=0 t=975297
lao bei 	老被	c=2 d=1.28465e-182 t=975297
lao bei jing 	老北京	c=1 d=1.52483e-169 t=975297
lao bian ji 	老編輯	c=1 d=0.00200924 t=975297
lao bian ji qi 	老編輯器	c=5 d=0.00158132 t=975297
lao biao 	老表	c=4 d=2.2386e-10 t=975297
lao bu xiu gang 	老不鏽鋼	c=1 d=0 t=975297
lao cao 	老曹	c=1 d=0 t=975297
lao chang 	老長	c=4 d=4.61699e-195 t=975297
lao chi 	老吃	c=1 d=8.47262e-51 t=975297
lao chi rou 	老吃肉	c=1 d=8.80255e-118 t=975297
lao chu 	老出	c=1 d=3.39313e-285 t=975297
lao chu xian 	老出現	c=1 d=5.48794e-30 t=975297
lao da 	老大	c=33 d=1.73922e-11 t=975297
lao da ge 	老大哥	c=2 d=7.17219e-120 t=975297
lao da ye 	老大爺	c=1 d=7.28058e-120 t=975297
lao dao 	嘮叨	c=4 d=2.82665e-195 t=975297
lao de 	老的	c=1 d=0 t=975297
lao deng 	老鄧	c=20 d=3.91585e-81 t=975297
lao di 	老弟	c=2 d=5.20918e-240 t=975297
lao di fang 	老地方	c=3 d=2.58785e-186 t=975297
lao dong 	勞動	c=17 d=6.94388e-63 t=975297
lao dong fa 	勞動法	c=1 d=1.48455e-208 t=975297
lao dong he tong 	勞動合同	c=1 d=3.20094e-158 t=975297
lao dong jie 	勞動節	c=1 d=2.02951e-121 t=975297
lao dong li 	勞動力	c=1 d=1.15936e-210 t=975297
lao du wu 	老讀物	c=2 d=2.8331e-163 t=975297
lao er 	老二	c=1 d=2.53332e-112 t=975297
lao fan 	勞煩	c=1 d=2.72042e-68 t=975297
lao fei 	老飛	c=1 d=0 t=975297
lao fu 	老夫	c=5 d=1.58797e-117 t=975297
lao fu qin 	老父親	c=1 d=0 t=975297
lao gan ma 	老乾媽	c=3 d=6.06182e-53 t=975297
lao gang 	老剛	c=1 d=0 t=975297
lao gao 	老高	c=1 d=0 t=975297
lao ge 	老哥	c=30 d=0.486752 t=975297
lao ge men 	老哥們	c=1 d=0 t=975297
lao gong 	老公	c=26 d=0.921271 t=975297
lao gou 	老狗	c=1 d=1.81581e-18 t=975297
lao guan wang 	老官網	c=7 d=1.90244e-125 t=975297
lao gui ju 	老規矩	c=5 d=3.5495e-80 t=975297
lao han 	老韓	c=21 d=1.76917e-06 t=975297
lao hei 	老黑	c=1 d=1.60509e-243 t=975297
lao hu 	老虎	c=124 d=1.25698e-35 t=975297
lao hu li 	老狐狸	c=1 d=1.47408e-65 t=975297
lao hu zheng quan 	老虎證券	c=1 d=7.6956e-37 t=975297
lao hua 	老化	c=5 d=4.48889e-107 t=975297
lao huang jin tong 	老黃金瞳	c=1 d=0 t=975297
lao hui lai 	撈回來	c=1 d=0 t=975297
lao huo 	老火	c=1 d=6.31617e-301 t=975297
lao huo ji 	老夥計	c=4 d=9.95158e-179 t=975297
lao jia 	老家	c=87 d=7.56041e-05 t=975297
lao jiang 	老蔣	c=5 d=0.000553084 t=975297
lao jiang 	老薑	c=45 d=1.01563e-06 t=975297
lao jie 	老街	c=4 d=5.82083e-252 t=975297
lao jie kou 	老接口	c=2 d=3.23177e-65 t=975297
lao jiu 	老舅	c=213 d=3.38873 t=975297
lao jiu 	老舊	c=5 d=9.37813e-216 t=975297
lao jiu cai 	老韭菜	c=1 d=0 t=975297
lao kai zi 	老凱子	c=1 d=7.85246e-186 t=975297
lao ke 	嘮嗑	c=2 d=0 t=975297
lao ke hu 	老客戶	c=1 d=0 t=975297
lao ku 	勞苦	c=1 d=2.9342e-105 t=975297
lao kuan 	老款	c=1 d=2.42869e-57 t=975297
lao la 	老辣	c=4 d=1.45748e-167 t=975297
lao lao 	嘮嘮	c=40 d=1.81143e-19 t=975297
lao lao 	姥姥	c=2 d=1.20975e-93 t=975297
lao lao 	牢牢	c=1 d=4.86969e-65 t=975297
lao lao ke 	嘮嘮磕	c=1 d=0 t=975297
lao lao shi shi 	老老實實	c=7 d=2.85901e-39 t=975297
lao lao tao zhu 	牢牢套住	c=2 d=0 t=975297
lao le 	老了	c=1 d=1.1622e-180 t=975297
lao lei 	勞累	c=3 d=9.00581e-210 t=975297
lao li 	勞力	c=1 d=1.00622e-161 t=975297
lao li 	老李	c=1 d=4.31686e-206 t=975297
lao lian 	老臉	c=1 d=1.99638e-192 t=975297
lao lin 	老林	c=3 d=0 t=975297
lao liu 	老劉	c=1 d=0 t=975297
lao luo 	老羅	c=7 d=1.70368e-54 t=975297
lao ma 	老媽	c=5 d=9.54674e-161 t=975297
lao ma 	老馬	c=2 d=0 t=975297
lao ma lu 	老馬路	c=2 d=5.86648e-50 t=975297
lao mi 	老米	c=1 d=1.76306e-171 t=975297
lao miao 	老秒	c=1 d=2.24946e-155 t=975297
lao ming 	老命	c=2 d=0 t=975297
lao mo 	勞模	c=1 d=0 t=975297
lao mou shen suan 	老謀深算	c=1 d=1.56358e-82 t=975297
lao na 	老衲	c=1 d=0 t=975297
lao nan hai 	老南海	c=1 d=2.83861e-274 t=975297
lao nan ren 	老男人	c=1 d=6.57521e-127 t=975297
lao ni 	老你	c=1 d=0 t=975297
lao nian 	老年	c=6 d=3.90258e-78 t=975297
lao nian ren 	老年人	c=5 d=3.84448e-78 t=975297
lao niang 	老孃	c=2 d=0 t=975297
lao niao 	老鳥	c=1 d=9.51684e-36 t=975297
lao ou 	老歐	c=3 d=4.46359e-228 t=975297
lao pin wei 	老品味	c=5 d=4.53569e-82 t=975297
lao ping tai 	老平臺	c=5 d=0.506503 t=975297
lao po 	老婆	c=86 d=1.10037 t=975297
lao qi 	撈起	c=1 d=0 t=975297
lao qi 	老齊	c=1 d=4.66705e-300 t=975297
lao qi lai 	撈起來	c=1 d=5.08485e-103 t=975297
lao qian 	撈錢	c=1 d=0 t=975297
lao qu 	老區	c=1 d=3.61186e-79 t=975297
lao rang 	老讓	c=2 d=7.4029e-22 t=975297
lao rang wo 	老讓我	c=1 d=4.82769e-257 t=975297
lao ren 	撈人	c=2 d=0 t=975297
lao ren 	老人	c=9 d=3.30964e-51 t=975297
lao ren jia 	老人家	c=3 d=2.39067e-136 t=975297
lao sao 	牢騷	c=1 d=0 t=975297
lao shan 	老山	c=1 d=5.94772e-241 t=975297
lao she bei 	老設備	c=15 d=2.60913e-237 t=975297
lao she qu 	老社區	c=1 d=5.34395e-217 t=975297
lao shi 	老實	c=8 d=1.21581e-93 t=975297
lao shi 	老師	c=328 d=0.00421805 t=975297
lao shi 	老是	c=2 d=0 t=975297
lao shi de 	老實的	c=1 d=5.86092e-127 t=975297
lao shi dian 	老實點	c=1 d=1.49336e-159 t=975297
lao shi men 	老師們	c=5 d=1.25467e-22 t=975297
lao shi ren 	老實人	c=1 d=0 t=975297
lao shi shuo 	老實說	c=6 d=0.29523 t=975297
lao shou dao 	老收到	c=1 d=0 t=975297
lao shou hou 	老售後	c=1 d=0 t=975297
lao shu 	老鼠	c=1 d=1.2842e-31 t=975297
lao shuo 	老說	c=3 d=3.43958e-151 t=975297
lao shuo shi 	老說是	c=1 d=8.06934e-183 t=975297
lao si ji 	老司機	c=29 d=2.76056e-06 t=975297
lao si lai si 	勞斯萊斯	c=1 d=0 t=975297
lao sun 	老孫	c=1 d=0 t=975297
lao tai po 	老太婆	c=1 d=5.41452e-48 t=975297
lao tai tai 	老太太	c=3 d=1.44691e-199 t=975297
lao tang 	老唐	c=70 d=0.33454 t=975297
lao tang 	老湯	c=1 d=4.57023e-83 t=975297
lao tian 	老天	c=3 d=5.27045e-113 t=975297
lao tie 	老鐵	c=31 d=1.99142e-11 t=975297
lao tong zhi 	老同志	c=1 d=0 t=975297
lao tou 	老頭	c=5 d=1.36482e-12 t=975297
lao wai 	老外	c=5 d=6.16116e-09 t=975297
lao wang 	老王	c=119 d=0.0113673 t=975297
lao wei 	老魏	c=51 d=1.69632e-09 t=975297
lao wen 	老聞	c=2 d=0 t=975297
lao wen dang 	老文檔	c=1 d=0 t=975297
lao wen ti 	老問題	c=5 d=2.54878e-66 t=975297
lao wu 	勞務	c=7 d=0 t=975297
lao wu pai qian 	勞務派遣	c=1 d=0 t=975297
lao wu yun 	勞務雲	c=1 d=0 t=975297
lao xi tong 	老系統	c=3 d=0 t=975297
lao xia 	老夏	c=16 d=6.52122e-69 t=975297
lao xiang 	老鄉	c=9 d=6.15513e-116 t=975297
lao xiang mu 	老項目	c=3 d=2.76776e-212 t=975297
lao xin 	勞心	c=1 d=1.0012e-161 t=975297
lao xiong 	老兄	c=1 d=0 t=975297
lao xu 	老徐	c=8 d=6.98871e-168 t=975297
lao ya 	老鴉	c=1 d=6.7916e-184 t=975297
lao ya tang 	老鴉唐	c=1 d=8.59343e-188 t=975297
lao ya tang 	老鴉湯	c=1 d=8.7233e-188 t=975297
lao yan hun hua 	老眼昏花	c=1 d=0 t=975297
lao yang 	老楊	c=1 d=0 t=975297
lao yang zi 	老樣子	c=5 d=3.78555e-14 t=975297
lao yao 	老妖	c=1 d=0 t=975297
lao ye zi 	老爺子	c=2 d=1.27211e-08 t=975297
lao yi bei 	老一輩	c=3 d=4.41125e-137 t=975297
lao yi jie he 	勞逸結合	c=4 d=5.17115e-07 t=975297
lao yi tao 	老一套	c=1 d=0 t=975297
lao yong 	老用	c=1 d=0 t=975297
lao yong hu 	老用戶	c=8 d=1.61132e-171 t=975297
lao you 	老友	c=1 d=0 t=975297
lao you 	老幼	c=1 d=0 t=975297
lao you jie yi 	老幼皆宜	c=1 d=0 t=975297
lao you tiao 	老油條	c=2 d=0 t=975297
lao yu 	牢獄	c=1 d=0 t=975297
lao yu 	老於	c=87 d=5.11696e-07 t=975297
lao yuan 	老遠	c=4 d=0 t=975297
lao yuan gong 	老員工	c=14 d=3.3286e-30 t=975297
lao zai jia 	老在家	c=1 d=0 t=975297
lao zao 	老早	c=22 d=9.53694e-23 t=975297
lao zhan you 	老戰友	c=1 d=0 t=975297
lao zhang 	老張	c=10 d=1.82014e-46 t=975297
lao zhang ren 	老丈人	c=3 d=0 t=975297
lao zhe me 	老這麼	c=2 d=0 t=975297
lao zhen 	落枕	c=1 d=5.25633e-199 t=975297
lao zheng 	老鄭	c=1 d=0 t=975297
lao zhong yi 	老中醫	c=1 d=0 t=975297
lao zhou 	老周	c=9 d=1.0249e-54 t=975297
lao zhu 	老朱	c=2 d=1.5008e-188 t=975297
lao zi 	老子	c=9 d=1.31511e-193 t=975297
lao zong 	老總	c=5 d=2.47632e-109 t=975297
lao zuo zhe 	老坐着	c=1 d=1.85012e-238 t=975297
le 	了	c=24439 d=9.35426 t=975297
le 	叻	c=7 d=8.27891e-73 t=975297
le 	樂	c=12 d=5.87485e-08 t=975297
le de 	了的	c=1 d=1.28365e-261 t=975297
le dian 	了點	c=6 d=1.17851e-50 t=975297
le gao 	樂高	c=2 d=1.70443e-38 t=975297
le ge 	了個	c=14 d=1.66547e-61 t=975297
le guan 	樂觀	c=33 d=0.034562 t=975297
le guan suo 	樂觀鎖	c=1 d=2.52807e-117 t=975297
le hao jiu 	了好久	c=1 d=0 t=975297
le he 	樂呵	c=2 d=3.99784e-97 t=975297
le he le he 	樂呵樂呵	c=1 d=0 t=975297
le le 	樂樂	c=7 d=6.08411e-08 t=975297
le lia 	了倆	c=1 d=1.99585e-277 t=975297
le ma 	了嗎	c=15 d=3.39169e-46 t=975297
le me 	了麼	c=2 d=7.56409e-187 t=975297
le mei 	了沒	c=1 d=0 t=975297
le ne 	了呢	c=1 d=7.85622e-221 t=975297
le qu 	樂趣	c=3 d=2.20527e-10 t=975297
le se 	垃圾	c=1 d=0 t=975297
le sha 	了啥	c=1 d=4.95898e-161 t=975297
le shi 	樂視	c=5 d=4.26926e-163 t=975297
le si 	樂思	c=1 d=0 t=975297
le tian 	樂天	c=5 d=4.99382e-67 t=975297
le wang 	樂網	c=0 d=9.77415e-233 t=975297
le xia 	了下	c=56 d=1.73473e-10 t=975297
le xin 	樂鑫	c=1 d=1.9484e-53 t=975297
le yi 	了一	c=0 d=6.16646e-167 t=975297
le yi 	樂意	c=11 d=1.72169e-127 t=975297
le yi xia 	了一下	c=2 d=4.64908e-49 t=975297
le yu 	樂於	c=6 d=4.30453e-143 t=975297
le yu zhu ren 	樂於助人	c=6 d=4.80505e-143 t=975297
lei 	壘	c=1 d=0 t=975297
lei 	擂	c=1 d=4.58781e-40 t=975297
lei 	淚	c=1 d=0 t=975297
lei 	磊	c=22 d=1.58623e-16 t=975297
lei 	累	c=34 d=2.01742e-07 t=975297
lei 	蕾	c=3 d=5.45615e-138 t=975297
lei 	雷	c=40 d=0.694197 t=975297
lei 	類	c=190 d=8.03055e-06 t=975297
lei ben 	淚奔	c=2 d=0 t=975297
lei bi 	類比	c=2 d=0 t=975297
lei bie 	類別	c=16 d=1.41623e-27 t=975297
lei bu lei 	累不累	c=1 d=0 t=975297
lei da 	雷達	c=15 d=1.72164e-156 t=975297
lei ding 	雷丁	c=1 d=3.10284e-86 t=975297
lei feng 	雷鋒	c=2 d=1.08278e-112 t=975297
lei ge 	磊哥	c=122 d=4.11153e-15 t=975297
lei hou 	雷猴	c=1 d=9.4408e-118 t=975297
lei huai 	累壞	c=2 d=1.6135e-40 t=975297
lei ji 	累計	c=27 d=2.28258e-33 t=975297
lei jia 	累加	c=3 d=1.35508e-30 t=975297
lei ju 	累句	c=1 d=0 t=975297
lei jun 	雷軍	c=11 d=1.08481e-134 t=975297
lei ku 	類庫	c=87 d=0.195795 t=975297
lei lao ban 	雷老闆	c=14 d=2.75778e-52 t=975297
lei le 	累了	c=1 d=6.18914e-121 t=975297
lei lei 	累累	c=1 d=3.22408e-37 t=975297
lei lei 	雷雷	c=46 d=5.33249e-133 t=975297
lei ming 	類名	c=3 d=3.74637e-68 t=975297
lei mu 	類目	c=28 d=4.81975e-32 t=975297
lei pa 	累趴	c=1 d=1.68846e-133 t=975297
lei ren 	累人	c=3 d=0 t=975297
lei ren 	雷人	c=1 d=4.97028e-129 t=975297
lei ren 	類人	c=1 d=2.72071e-128 t=975297
lei she 	雷蛇	c=1 d=0 t=975297
lei shen 	雷神	c=1 d=2.50182e-200 t=975297
lei shu yi 	雷淑怡	c=17 d=7.50097e-22 t=975297
lei shui 	淚水	c=2 d=1.0285e-154 t=975297
lei si 	累死	c=6 d=2.06954e-233 t=975297
lei si 	類似	c=279 d=0.456261 t=975297
lei si lei huo 	累死累活	c=2 d=4.56901e-168 t=975297
lei si yu 	類似於	c=11 d=1.89384e-13 t=975297
lei xing 	類型	c=251 d=0.427327 t=975297
lei zai 	蕾仔	c=4 d=0 t=975297
lei zhao 	累着	c=1 d=1.27628e-17 t=975297
lei zhen yu 	雷陣雨	c=2 d=3.04204e-206 t=975297
lei zhui 	累贅	c=1 d=0 t=975297
lei zong 	雷總	c=10 d=3.28956e-97 t=975297
leng 	冷	c=35 d=5.17672e-06 t=975297
leng 	楞	c=1 d=1.15025e-176 t=975297
leng bing bing 	冷冰冰	c=1 d=0 t=975297
leng bu leng 	冷不冷	c=2 d=0 t=975297
leng cang 	冷藏	c=1 d=1.03888e-272 t=975297
leng dan 	冷淡	c=1 d=1.68806e-189 t=975297
leng de 	冷得	c=2 d=2.44096e-175 t=975297
leng dong 	冷凍	c=1 d=9.37995e-42 t=975297
leng feng 	冷風	c=1 d=8.36043e-100 t=975297
leng huo 	冷貨	c=1 d=2.56934e-131 t=975297
leng jing 	冷靜	c=8 d=1.04429e-98 t=975297
leng le 	冷了	c=1 d=0 t=975297
leng lian 	冷連	c=1 d=2.35613e-200 t=975297
leng men 	冷門	c=1 d=0 t=975297
leng qi dong 	冷啓動	c=1 d=1.25699e-220 t=975297
leng qing 	冷清	c=1 d=1.46907e-25 t=975297
leng re 	冷熱	c=1 d=0 t=975297
leng re shui 	冷熱水	c=1 d=0 t=975297
leng shi 	愣是	c=4 d=9.81312e-220 t=975297
leng shui 	冷水	c=1 d=5.34152e-06 t=975297
leng tian 	冷天	c=1 d=2.07934e-171 t=975297
leng yin 	冷飲	c=1 d=2.99886e-38 t=975297
li 	例	c=0 d=2.22684e-96 t=975297
li 	利	c=15 d=4.5008e-50 t=975297
li 	力	c=59 d=8.53014e-13 t=975297
li 	李	c=205 d=0.00260019 t=975297
li 	歷	c=0 d=0 t=975297
li 	理	c=22 d=1.41584e-32 t=975297
li 	立	c=33 d=1.90728e-08 t=975297
li 	粒	c=2 d=2.55443e-92 t=975297
li 	莉	c=1 d=0 t=975297
li 	裏	c=1183 d=0.0322254 t=975297
li 	離	c=93 d=0.0342181 t=975297
li 	麗	c=11 d=1.28346e-83 t=975297
li 	黎	c=31 d=0.00204146 t=975297
li an 	立案	c=1 d=0 t=975297
li bai 	禮拜	c=44 d=1.25659e-40 t=975297
li bang 	李幫	c=1 d=7.27911e-147 t=975297
li bao 	禮包	c=5 d=1.50463e-218 t=975297
li bi 	利弊	c=5 d=4.4421e-72 t=975297
li bian 	裏邊	c=1 d=0 t=975297
li bu cong xin 	力不從心	c=2 d=6.93376e-134 t=975297
li bu kai 	離不開	c=3 d=5.27634e-38 t=975297
li cai 	理財	c=60 d=0.00801404 t=975297
li cai la 	理財啦	c=1 d=0 t=975297
li cai tong 	理財通	c=1 d=0 t=975297
li chang 	立場	c=7 d=2.16861e-48 t=975297
li chang 	離場	c=5 d=0 t=975297
li cheng 	歷程	c=2 d=0 t=975297
li cheng 	里程	c=2 d=0 t=975297
li cheng bei 	里程碑	c=14 d=2.83983e-44 t=975297
li chuan yi 	李傳義	c=3 d=2.43974e-180 t=975297
li chun 	立春	c=1 d=3.88881e-154 t=975297
li da zui 	裏大嘴	c=1 d=0 t=975297
li dai 	歷代	c=2 d=0 t=975297
li dao 	力道	c=1 d=2.95202e-88 t=975297
li de 	離得	c=7 d=4.37522e-70 t=975297
li de jin 	離得近	c=4 d=3.18782e-286 t=975297
li dian chi 	鋰電池	c=3 d=1.52089e-168 t=975297
li dong 	立冬	c=3 d=3.20909e-41 t=975297
li du 	力度	c=9 d=2.07269e-104 t=975297
li du 	粒度	c=29 d=2.02509e-66 t=975297
li er 	理兒	c=1 d=4.36866e-23 t=975297
li fa 	理髮	c=7 d=0 t=975297
li fa dian 	理髮店	c=1 d=0 t=975297
li fa qi 	理髮器	c=1 d=0 t=975297
li fang 	立方	c=1 d=1.26368e-253 t=975297
li fei yun 	裏飛雲	c=2 d=5.12443e-106 t=975297
li gang 	離崗	c=2 d=1.82746e-05 t=975297
li ge 	理個	c=3 d=0 t=975297
